,precision,recall,f1-score,support
Benign,0.9969482716944645,0.4675035776527764,0.6365205984200322,70577.0
Bot,0.1327683615819209,1.0,0.2344139650872818,47.0
Brute Force -Web,0.004081632653061225,0.16666666666666666,0.00796812749003984,12.0
Brute Force -XSS,0.0,0.0,0.0,5.0
DDOS attack-HOIC,0.9943656093489148,0.9902327514546966,0.9922948771345272,4812.0
DDOS attack-LOIC-UDP,0.47058823529411764,0.8888888888888888,0.6153846153846154,9.0
DDoS attacks-LOIC-HTTP,0.9056203605514316,1.0,0.9504730105731776,854.0
DoS attacks-GoldenEye,0.3560371517027864,0.9426229508196722,0.5168539325842697,122.0
DoS attacks-Hulk,0.9735638027452974,0.9269119070667957,0.9496652615918671,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,0.10067114093959731,0.9375,0.18181818181818182,32.0
FTP-BruteForce,0.9692307692307692,1.0,0.984375,63.0
Infilteration,0.02633998593758451,0.9010175763182239,0.05118368848367009,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.5435897435897435,1.0,0.7043189368770764,318.0
accuracy,0.526075,0.526075,0.526075,0.526075
macro avg,0.4315870043513126,0.6814229545911814,0.4550180130296492,80000.0
weighted avg,0.9781358385674145,0.526075,0.6612399264517363,80000.0
